Source;Target;Type
'02877';SLO;Undirected
'02877';RJY;Undirected
'02877';EE;Undirected
'02877';BZA;Undirected
'02877';OGL;Undirected
'02877';NLR;Undirected
'02877';GDR;Undirected
'02877';RU;Undirected
'02877';KPD;Undirected
'02877';JTJ;Undirected
'02877';KJM;Undirected
'02878';KJM;Undirected
'02878';JTJ;Undirected
'02878';KPD;Undirected
'02878';RU;Undirected
'02878';GDR;Undirected
'02878';NLR;Undirected
'02878';OGL;Undirected
'02878';BZA;Undirected
'02878';EE;Undirected
'02878';RJY;Undirected
'02878';SLO;Undirected
'02878';DVD;Undirected
'02878';VSKP;Undirected
'02882';BBS;Undirected
'02882';BAM;Undirected
'02882';VSKP;Undirected
'02882';BZA;Undirected
'02882';SC;Undirected
'02882';SUR;Undirected
'02882';PUNE;Undirected
'03235';SBG;Undirected
'03235';PPT;Undirected
'03235';CLG;Undirected
'03235';EKC;Undirected
'03235';GGA;Undirected
'03235';BGP;Undirected
'03235';AKN;Undirected
'03235';SGG;Undirected
'03235';BUP;Undirected
'03235';JMP;Undirected
'03235';DRH;Undirected
'03235';AHA;Undirected
'03235';KJH;Undirected
'03235';KIUL;Undirected
'03235';LKR;Undirected
'03235';BRYA;Undirected
'03235';HTZ;Undirected
'03235';MKA;Undirected
'03235';BARH;Undirected
'03235';ATL;Undirected
'03235';BKP;Undirected
'03235';KOO;Undirected
'03235';FUT;Undirected
'03235';PNC;Undirected
'03235';RJPB;Undirected
'03235';PNBE;Undirected
'03235';DNR;Undirected
'03236';DNR;Undirected
'03236';PNBE;Undirected
'03236';RJPB;Undirected
'03236';PNC;Undirected
'03236';FUT;Undirected
'03236';KOO;Undirected
'03236';KWO;Undirected
'03236';BKP;Undirected
'03236';ATL;Undirected
'03236';BARH;Undirected
'03236';MKA;Undirected
'03236';HTZ;Undirected
'03236';BRYA;Undirected
'03236';DMRX;Undirected
'03236';LKR;Undirected
'03236';KIUL;Undirected
'03236';KJH;Undirected
'03236';AHA;Undirected
'03236';DRH;Undirected
'03236';JMP;Undirected
'03236';BUP;Undirected
'03236';SGG;Undirected
'03236';AKN;Undirected
'03236';BGP;Undirected
'03236';GGA;Undirected
'03236';EKC;Undirected
'03236';CLG;Undirected
'03236';PPT;Undirected
'03236';SBG;Undirected
'03401';BGP;Undirected
'03401';NAT;Undirected
'03401';AKN;Undirected
'03401';SGG;Undirected
'03401';KPRD;Undirected
'03401';BUP;Undirected
'03401';RPUR;Undirected
'03401';JMP;Undirected
'03401';DRH;Undirected
'03401';MSDN;Undirected
'03401';AHA;Undirected
'03401';KJH;Undirected
'03401';UREN;Undirected
'03401';DNRE;Undirected
'03401';KIUL;Undirected
'03401';LKR;Undirected
'03401';BRYA;Undirected
'03401';HTZ;Undirected
'03401';MKA;Undirected
'03401';PHK;Undirected
'03401';BARH;Undirected
'03401';BKP;Undirected
'03401';FUT;Undirected
'03401';PNC;Undirected
'03401';RJPB;Undirected
'03401';PNBE;Undirected
'03401';DNR;Undirected
'03402';DNR;Undirected
'03402';PNBE;Undirected
'03402';RJPB;Undirected
'03402';PNC;Undirected
'03402';FUT;Undirected
'03402';BKP;Undirected
'03402';BARH;Undirected
'03402';PHK;Undirected
'03402';MKA;Undirected
'03402';HTZ;Undirected
'03402';BRYA;Undirected
'03402';LKR;Undirected
'03402';KIUL;Undirected
'03402';DNRE;Undirected
'03402';UREN;Undirected
'03402';KJH;Undirected
'03402';AHA;Undirected
'03402';MSDN;Undirected
'03402';DRH;Undirected
'03402';JMP;Undirected
'03402';RPUR;Undirected
'03402';BUP;Undirected
'03402';KPRD;Undirected
'03402';SGG;Undirected
'03402';AKN;Undirected
'03402';NAT;Undirected
'03402';BGP;Undirected
'04401';ANVT;Undirected
'04401';GZB;Undirected
'04401';MTC;Undirected
'04401';MOZ;Undirected
'04401';SRE;Undirected
'04401';UMB;Undirected
'04401';LDH;Undirected
'04401';JRC;Undirected
'04401';PTKC;Undirected
'04401';JAT;Undirected
'04401';UHP;Undirected
'04401';SVDK;Undirected
'04402';SVDK;Undirected
'04402';UHP;Undirected
'04402';JAT;Undirected
'04402';PTKC;Undirected
'04402';JRC;Undirected
'04402';LDH;Undirected
'04402';UMB;Undirected
'04402';SRE;Undirected
'04402';MOZ;Undirected
'04402';MTC;Undirected
'04402';GZB;Undirected
'04402';ANVT;Undirected
'04403';LKO;Undirected
'04403';BE;Undirected
'04403';MB;Undirected
'04403';GZB;Undirected
'04403';ANVT;Undirected
'04404';ANVT;Undirected
'04404';GZB;Undirected
'04404';MB;Undirected
'04404';BE;Undirected
'04404';LKO;Undirected
'04405';LKO;Undirected
'04405';BE;Undirected
'04405';MB;Undirected
'04405';GZB;Undirected
'04405';NDLS;Undirected
'04406';NDLS;Undirected
'04406';GZB;Undirected
'04406';MB;Undirected
'04406';BE;Undirected
'04406';LKO;Undirected
'04407';DBG;Undirected
'04407';SPJ;Undirected
'04407';MFP;Undirected
'04407';HJP;Undirected
'04407';CPR;Undirected
'04407';SV;Undirected
'04407';DEOS;Undirected
'04407';GKP;Undirected
'04407';BST;Undirected
'04407';GD;Undirected
'04407';LKO;Undirected
'04407';BE;Undirected
'04407';MB;Undirected
'04407';DLI;Undirected
'04408';DLI;Undirected
'04408';MB;Undirected
'04408';BE;Undirected
'04408';LKO;Undirected
'04408';GD;Undirected
'04408';BST;Undirected
'04408';GKP;Undirected
'04408';DEOS;Undirected
'04408';SV;Undirected
'04408';CPR;Undirected
'04408';HJP;Undirected
'04408';MFP;Undirected
'04408';SPJ;Undirected
'04408';DBG;Undirected
'04413';DEE;Undirected
'04413';ROK;Undirected
'04413';JIND;Undirected
'04413';NRW;Undirected
'04413';JHL;Undirected
'04413';DUI;Undirected
'04413';LDH;Undirected
'04413';JRC;Undirected
'04413';PTKC;Undirected
'04413';JAT;Undirected
'04413';UHP;Undirected
'04413';SVDK;Undirected
'04414';SVDK;Undirected
'04414';UHP;Undirected
'04414';JAT;Undirected
'04414';PTKC;Undirected
'04414';JRC;Undirected
'04414';LDH;Undirected
'04414';DUI;Undirected
'04414';JHL;Undirected
'04414';NRW;Undirected
'04414';JIND;Undirected
'04414';ROK;Undirected
'04414';DEE;Undirected
'04415';BJU;Undirected
'04415';SPJ;Undirected
'04415';MFP;Undirected
'04415';HJP;Undirected
'04415';CPR;Undirected
'04415';SV;Undirected
'04415';DEOS;Undirected
'04415';GKP;Undirected
'04415';BST;Undirected
'04415';GD;Undirected
'04415';LKO;Undirected
'04415';BE;Undirected
'04415';MB;Undirected
'04415';NDLS;Undirected
'04416';NDLS;Undirected
'04416';MB;Undirected
'04416';BE;Undirected
'04416';LKO;Undirected
'04416';GD;Undirected
'04416';BST;Undirected
'04416';GKP;Undirected
'04416';DEOS;Undirected
'04416';SV;Undirected
'04416';CPR;Undirected
